page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
4,128,Random,matriz.log,83633,18017,0.299119
4,256,Random,matriz.log,35143,8329,0.263523
4,512,Random,matriz.log,19237,5177,0.336897
4,1024,Random,matriz.log,9698,3053,0.365214
4,2048,Random,matriz.log,5611,1812,0.525349
4,4096,Random,matriz.log,3818,1234,0.672121
4,8192,Random,matriz.log,2919,433,0.685115
4,16384,Random,matriz.log,2543,0,0.896622
8,128,Random,matriz.log,191839,39484,0.438602
8,256,Random,matriz.log,78799,16982,0.291227
8,512,Random,matriz.log,31548,7569,0.260353
8,1024,Random,matriz.log,16579,4569,0.329517
8,2048,Random,matriz.log,8052,2600,0.370959
8,4096,Random,matriz.log,4642,1578,0.402260
8,8192,Random,matriz.log,3161,960,0.484427
8,16384,Random,matriz.log,2371,168,0.728851
16,128,Random,matriz.log,316797,53909,0.612928
16,256,Random,matriz.log,186357,38725,0.430099
16,512,Random,matriz.log,72169,15806,0.280312
